Zip_Code,total_requests,total_fines,total_missed_pickups,latitude,longitude
37013.0,2173,524400,4795,36.06026524702939,-86.64099817645983
37027.0,114,17800,203,36.03915907300166,-86.76123447997567
37076.0,4,0,4,36.19964079676856,-86.59168874331729
37086.0,3,400,5,36.026506147274105,-86.58968582126543
37115.0,1066,205400,2093,36.262126873814225,-86.71671459659166
37138.0,3,0,3,36.250136878336214,-86.64825300452539
37189.0,58,23200,174,36.24340743777222,-86.82329426487892
37201.0,34,5600,62,36.16442848255073,-86.77724267427287
37203.0,379,143000,1094,36.14842084112856,-86.78812645584576
37204.0,511,83000,926,36.11114649349534,-86.78631141854812
37205.0,854,163600,1672,36.11164478307589,-86.86751189832174
37206.0,1027,124600,1650,36.18221817818404,-86.73762024726533
37207.0,1029,161200,1835,36.20841710191418,-86.77840158908144
37208.0,877,142200,1588,36.174631238880956,-86.80766526666692
37209.0,1147,239400,2344,36.12167691019957,-86.77702409300888
37210.0,444,90200,895,36.134977316211184,-86.73909104179235
37211.0,1900,376800,3784,36.05546775680516,-86.67806857322638
37212.0,493,57800,782,36.05634283515574,-86.62321377780762
37213.0,1,0,1,36.162538245189104,-86.75950970056812
37214.0,783,124800,1407,36.18281040884842,-86.67634678542863
37215.0,1247,288400,2689,36.105709643351766,-86.8197035447241
37216.0,676,74000,1046,36.214340500032414,-86.72467631320261
37217.0,703,99400,1200,36.09540236322046,-86.64624697355819
37218.0,844,184000,1764,36.208641733500436,-86.83833237180812
37219.0,31,16600,114,36.16557859206683,-86.78196137635682
37220.0,189,22400,301,36.071017026470884,-86.77407929914023
37221.0,60,31000,215,36.08247025034571,-86.91996932187892
37228.0,1,0,1,36.19383354777375,-86.8151208247334
